origen,destino,distancia,tiempo,
CV1,c524,174885,141412,
CV1,c525,174289,140899,
CV1,c526,175253,141750,
CV1,c527,177745,145189,
CV1,c528,173753,140442,
CV1,c529,173360,140092,
CV1,c530,173701,140393,
CV1,c531,172857,139832,
CV1,c532,172614,139582,
CV1,c533,170765,138023,
CV1,c534,55275,44878,
CV1,c535,206475,170643,
CV1,c536,8059,6791,
CV1,c537,68771,55904,
CV1,c538,5446,4611,
CV1,c539,5720,4866,
CV1,c540,6403,5417,
CV1,c541,6584,5596,
CV1,c542,6461,5580,
CV1,c543,6664,5675,
CV1,c544,5783,4893,
CV1,c545,7162,6032,
CV1,c546,6961,5865,
CV1,c547,9628,8352,
CV1,c548,9287,7816,
CV1,c549,7060,5958,
CV1,c550,7150,6088,
CV1,c551,11065,9622,
CV1,c552,11203,9794,
CV1,c553,9869,8530,
CV1,c554,7126,6158,
CV1,c555,7198,6219,
CV1,c556,2654,2265,
CV1,c557,5987,5120,
CV1,c558,3682,3138,
CV1,c559,3918,3391,
CV1,c560,9020,7682,
CV1,c561,71862,59791,
CV1,c562,71344,59346,
CV1,c563,71783,59727,
CV1,c564,71965,59854,
CV1,c565,72560,60574,
CV1,c566,71263,59287,
CV1,c567,71995,59907,
CV1,c568,71172,59217,
CV1,c569,4602,3915,
CV1,c570,5162,4325,
CV1,c571,12470,10817,
CV1,c572,14152,12432,
CV1,c573,3736,3187,
CV1,c574,10238,8862,
CV1,c575,4952,4222,
CV1,c576,5187,4346,
CV1,c577,13473,11617,
CV1,c578,5564,4682,
CV1,c579,6036,5089,
CV1,c580,6365,5363,
CV1,c581,6982,5812,
CV1,c582,7661,6585,
CV1,c583,7563,6466,
CV1,c584,6758,5762,
CV1,c585,7350,6250,
CV1,c586,7594,6458,
CV1,c587,8506,7345,
CV1,c588,7574,6440,
CV1,c589,9580,8173,
CV1,c590,7661,6585,
CV1,c591,6773,5762,
CV1,c592,6185,5249,
CV1,c593,12689,10963,
CV1,c594,7002,5943,
CV1,c595,9628,8352,
CV1,c596,7146,6148,
CV1,c597,7574,6440,
CV1,c598,7994,6934,
CV1,c599,8602,7351,
CV1,c600,5987,5120,
CV1,c601,7978,6874,
CV1,c602,6934,5895,
CV1,c603,8668,7444,
CV1,c604,8668,7444,
CV1,c605,7574,6440,
CV1,c606,5987,5120,
CV1,c607,9417,8082,
CV1,c608,5712,4829,
CV1,c609,8921,7741,
CV1,c610,9183,8003,
CV1,c611,9183,8003,
CV1,c612,9704,8373,
CV1,c613,9183,8003,
CV1,c614,10584,9106,
CV1,c615,19525,16291,
CV1,c616,2369,1983,
CV1,c617,1620,1369,
CV1,c618,8031,6651,
CV1,c619,6614,5664,
CV1,c620,7606,6391,
CV1,c621,7357,6240,
CV1,c622,7068,6029,
CV1,c623,6648,5617,
CV1,c624,6244,5350,
CV1,c625,5765,4938,
CV1,c626,5804,4871,
CV1,c627,6191,5261,
CV1,c628,5530,4717,
CV1,c629,5193,4402,
CV1,c630,4877,4177,
CV1,c631,3464,2946,
CV1,c632,4470,3831,
CV1,c633,3597,3032,
CV1,c634,3175,2729,
CV1,c635,3986,3387,
CV1,c636,4608,3955,
CV1,c637,4031,3441,
CV1,c638,4230,3643,
CV1,c639,5322,4570,
CV1,c640,6075,5131,
CV1,c641,5975,5027,
CV1,c642,6362,5310,
CV1,c643,6887,5824,
CV1,c644,7980,6676,
CV1,c645,7841,6608,
CV1,c646,10869,9100,
CV1,c647,7206,6135,
CV1,c648,6667,5659,
CV1,c649,6792,5780,
CV1,c650,4794,4093,
CV1,c651,278770,229938,
CV1,c652,280432,231264,
CV1,c653,281793,232425,
CV1,c654,282181,232777,
CV1,c655,281452,232165,
CV1,c656,281309,231999,
CV1,c657,279826,230779,
CV1,c658,281024,231770,
CV1,c659,281576,232225,
CV1,c660,274540,226655,
CV1,c661,281352,232066,
CV1,c662,280628,231450,
CV1,c663,68042,55770,
CV1,c664,68415,56072,
CV1,c665,82729,67390,
CV1,c666,81379,67219,
CV1,c667,91833,74935,
CV1,c668,92920,75757,
CV1,c669,92864,75690,
CV1,c670,93165,75956,
CV1,c671,92942,75680,
CV1,c672,93917,76488,
CV1,c673,94148,76806,
CV1,c674,93891,76438,
CV1,c675,92942,75680,
CV1,c676,92942,75680,
CV1,c677,82875,67547,
CV1,c678,81765,66611,
CV1,c679,81765,66611,
CV1,c680,82817,67470,
CV1,c681,83792,68277,
CV1,c682,83723,68218,
CV1,c683,81903,66723,
CV1,c684,83767,68523,
CV1,c685,83215,67803,
CV1,c686,82127,66890,
CV1,c687,82435,67142,
CV1,c688,81765,66611,
CV1,c689,82706,67360,
CV1,c690,64879,53037,
CV1,c691,82667,67351,
CV1,c692,81765,66611,
CV1,c693,64493,52732,
CV1,c694,83283,67866,
CV1,c695,82995,67618,
CV1,c696,83063,67670,
CV1,c697,82142,66914,
CV1,c698,83020,67646,
CV1,c699,81616,66480,
CV1,c700,81765,66611,
CV1,c701,181688,150166,
CV1,c702,181038,149582,
CV1,c703,181293,149830,
CV1,c704,180946,149613,
CV1,c705,180994,149691,
CV1,c706,180346,149154,
CV1,c707,180767,149505,
CV1,c708,180308,149011,
CV1,c709,182327,150700,
CV1,c710,180977,149555,
CV1,c711,181681,150136,
CV1,c712,9257,7999,
CV1,c713,181652,150192,
CV1,c714,182332,150782,
CV1,c715,9213,7956,
CV1,c716,181553,150038,
CV1,c717,181722,150227,
CV1,c718,182066,150514,
CV1,c719,9589,8273,
CV1,c720,182151,150589,
CV1,c721,9642,8326,
CV1,c722,190586,157595,
CV1,c723,190044,157391,
CV1,c724,190590,157992,
CV1,c725,188823,156188,
CV1,c726,186779,154273,
CV1,c727,187037,154485,
CV1,c728,191210,157901,
CV1,c729,193005,159400,
CV1,c730,195698,161741,
CV1,c731,192447,158909,
CV1,c732,192814,159218,
CV1,c733,194235,160441,
CV1,c734,272491,224785,
CV1,c735,272809,225067,
CV1,c736,273148,225340,
CV1,c737,273099,225343,
CV1,c738,282181,232777,
CV1,c739,282706,233195,
CV1,c740,282706,233195,
CV1,c741,284115,234392,
CV1,c742,284544,234763,
CV1,c743,283825,234124,
CV1,c744,284138,234384,
CV1,c745,283794,234092,
CV1,c746,284428,234638,
CV1,c747,284534,234762,
CV1,c748,284786,234960,
CV1,c749,284748,234995,
CV1,c750,284208,234650,
CV1,c751,285133,235345,
CV1,c752,286454,236706,
CV1,c753,285796,235929,
CV1,c754,285906,236215,
CV1,c755,283998,237471,
CV1,c756,285007,235221,
CV1,c757,284862,235048,
CV1,c758,281136,231879,
CV1,c759,280291,231202,
CV1,c760,279220,230457,
CV1,c761,278828,230164,
CV1,c762,279116,230411,
CV1,c763,279557,230795,
CV1,c764,279738,230955,
CV1,c765,280165,231321,
CV1,c766,281779,232820,
CV1,c767,281836,232885,
CV1,c768,281631,232617,
CV1,c769,282295,232876,
CV1,c770,282295,232876,
CV1,c771,146364,119905,
CV1,c772,146473,119933,
CV1,c773,145927,119542,
CV1,c774,147241,120693,
CV1,c775,146834,120350,
CV1,c776,98519,80635,
CV1,c777,146473,119933,
CV1,c778,66113,54205,
CV1,c779,66656,54640,
CV1,c780,67578,55391,
CV1,c781,177774,145010,
CV1,c782,177791,145434,
CV1,c783,179432,146814,
CV1,c784,179121,146394,
CV1,c785,179005,146226,
CV1,c786,179870,146973,
CV1,c787,178761,146006,
CV1,c788,nan,nan,
CV1,c789,102781,83299,
CV1,c790,103151,83578,
CV1,c791,8525,7217,
CV1,c792,178060,145443,
CV1,c793,7789,6605,
CV1,c794,9764,8387,
CV1,c795,8005,6794,
CV1,c796,61149,48968,
CV1,c797,103003,83552,
CV1,c798,178881,146108,
CV1,c799,13177,11485,
CV1,c800,103097,83537,
CV1,c801,102946,83500,
CV1,c802,103246,83643,
CV1,c803,212100,175860,
CV1,c804,178988,146207,
CV1,c805,179194,146370,
CV1,c806,177790,145235,
CV1,c807,8768,7437,
CV1,c808,178624,145852,
CV1,c809,212146,175915,
CV1,c810,9062,7671,
CV1,c811,212138,175899,
CV1,c812,177162,144711,
CV1,c813,211860,175638,
CV1,c814,9486,8006,
CV1,c815,211999,175799,
CV1,c816,211081,175054,
CV1,c817,211860,175638,
CV1,c818,9846,8332,
CV1,c819,16235,13446,
CV1,c820,11670,10076,
CV1,c821,153575,124652,
CV1,c822,13381,11593,
CV1,c823,154306,125186,
CV1,c824,17504,14903,
CV1,c825,9637,8158,
CV1,c826,11938,10443,
CV1,c827,8980,7648,
CV1,c828,173096,139879,
CV1,c829,157130,127305,
CV1,c830,153191,124364,
CV1,c831,3765,3211,
CV1,c832,24044,20143,
CV1,c833,12169,10312,
CV1,c834,9255,7847,
CV1,c835,71862,59791,
CV1,c836,24200,20323,
CV1,c837,9073,7860,
CV1,c838,16495,13968,
CV1,c839,nan,nan,
CV1,c840,182279,146951,
CV1,c841,16904,14867,
CV1,c842,22169,18536,
CV1,c843,15094,12530,
CV1,c844,15094,12530,
CV1,c845,15955,13256,
CV1,c846,13009,11332,
CV1,c847,27564,22661,
CV1,c848,27723,22846,
CV1,c849,27697,22823,
CV1,c850,28404,23440,
CV1,c851,28255,23322,
CV1,c852,27723,22846,
CV1,c853,28983,23840,
CV1,c854,35579,29134,
CV1,c855,36003,29519,
CV1,c856,36312,29750,
CV1,c857,36003,29519,
CV1,c858,38501,31686,
CV1,c859,36003,29519,
CV1,c860,36003,29519,
CV1,c861,36003,29519,
CV1,c862,35994,29509,
CV1,c863,36003,29519,
CV1,c864,36003,29519,
CV1,c865,36502,29916,
CV1,c866,36003,29519,
CV1,c867,36003,29519,
CV1,c868,36296,29783,
CV1,c869,36003,29519,
CV1,c870,36003,29519,
CV1,c871,9469,8050,
CV1,c872,9584,8148,
CV1,c873,9299,7909,
CV1,c874,8707,7299,
CV1,c875,8610,7214,
CV1,c876,7980,6647,
CV1,c877,7881,6570,
CV1,c878,8698,7254,
CV1,c879,282559,233303,
CV1,c880,283063,233717,
CV1,c881,282190,232996,
CV1,c882,285007,235221,
CV1,c883,67729,55508,
CV1,c884,8859,7546,
CV1,c885,10489,8851,
CV1,c886,10791,9113,
CV1,c887,10970,9258,
CV1,c888,11044,9327,
CV1,c889,10508,8890,
CV1,c890,9283,7866,
CV1,c891,60490,48454,
CV1,c892,61368,49245,
CV1,c893,10595,8977,
CV2,c1,5413,4697,
CV2,c2,4415,3886,
CV2,c3,4201,3639,
CV2,c4,4320,3751,
CV2,c5,4915,4307,
CV2,c6,5072,4398,
CV2,c7,5952,5195,
CV2,c8,7286,6310,
CV2,c9,5326,4629,
CV2,c10,6750,5861,
CV2,c11,5622,4904,
CV2,c12,5072,4398,
CV2,c13,7244,6278,
CV2,c14,10874,9353,
CV2,c15,6358,5544,
CV2,c16,10408,8964,
CV2,c17,6892,6000,
CV2,c18,10093,8606,
CV2,c19,6194,5427,
CV2,c20,6119,5323,
CV2,c21,4632,3944,
CV2,c22,5858,5070,
CV2,c23,8125,6953,
CV2,c24,8663,7404,
CV2,c25,5756,5031,
CV2,c26,7502,6391,
CV2,c27,10011,8543,
CV2,c28,6775,5798,
CV2,c29,6224,5322,
CV2,c30,5427,4640,
CV2,c31,5630,4805,
CV2,c32,5427,4640,
CV2,c33,6362,5421,
CV2,c34,6874,5846,
CV2,c35,8953,7663,
CV2,c36,7549,6418,
CV2,c37,9381,8027,
CV2,c38,8890,7721,
CV2,c39,11571,9911,
CV2,c40,11689,10038,
CV2,c41,7325,6337,
CV2,c42,11134,9577,
CV2,c43,8576,7422,
CV2,c44,7950,6887,
CV2,c45,7358,6375,
CV2,c46,11349,9674,
CV2,c47,9822,8522,
CV2,c48,10316,8862,
CV2,c49,9822,8522,
CV2,c50,9642,8315,
CV2,c51,10793,9217,
CV2,c52,12078,10320,
CV2,c53,12730,10838,
CV2,c54,12540,10691,
CV2,c55,9151,7919,
CV2,c56,8645,7499,
CV2,c57,7995,6910,
CV2,c58,7510,6509,
CV2,c59,7325,6337,
CV2,c60,7995,6910,
CV2,c61,11349,9674,
CV2,c62,10011,8543,
CV2,c63,11563,9863,
CV2,c64,10294,8795,
CV2,c65,8761,7554,
CV2,c66,9276,7991,
CV2,c67,9870,8410,
CV2,c68,9561,8164,
CV2,c69,8357,7157,
CV2,c70,8964,7677,
CV2,c71,9082,7849,
CV2,c72,9312,7971,
CV2,c73,8429,7251,
CV2,c74,9738,8389,
CV2,c75,9276,7991,
CV2,c76,10300,8842,
CV2,c77,10917,9360,
CV2,c78,9491,8226,
CV2,c79,7445,6446,
CV2,c80,10650,9128,
CV2,c81,8517,7298,
CV2,c82,7455,6319,
CV2,c83,8515,7378,
CV2,c84,7400,6313,
CV2,c85,7444,6368,
CV2,c86,6800,5792,
CV2,c87,8515,7378,
CV2,c88,6794,5794,
CV2,c89,8515,7378,
CV2,c90,5832,4912,
CV2,c91,6214,5160,
CV2,c92,1456,1208,
CV2,c93,5114,4320,
CV2,c94,4765,3908,
CV2,c95,4761,3934,
CV2,c96,4527,3714,
CV2,c97,6271,5661,
CV2,c98,5177,4420,
CV2,c99,6873,6213,
CV2,c100,6363,5458,
CV2,c101,6255,5418,
CV2,c102,7112,6022,
CV2,c103,5342,4539,
CV2,c104,5732,4903,
CV2,c105,6089,5209,
